energy,pys
4.0,3.24
4.05,7.839999999999999
4.1,3.61
4.15,6.25
4.2,4.840000000000001
4.25,1.6900000000000002
4.3,4.41
4.35,3.24
4.4,0.6400000000000001
4.45,2.8899999999999997
4.5,2.5600000000000005
4.55,9.0
4.6,7.839999999999999
4.65,3.61
4.7,7.839999999999999
4.75,5.76
4.8,11.559999999999999
4.85,9.0
4.9,9.610000000000001
4.95,11.559999999999999
5.0,18.49
5.05,22.090000000000003
5.1,21.159999999999997
5.15,31.359999999999996
5.2,33.64
5.25,47.61000000000001
5.3,57.76
5.35,82.80999999999999
5.4,98.01
5.45,121.0
5.5,146.41
5.55,182.25
5.6,213.16
5.65,252.81
5.7,302.75999999999993
5.75,357.2099999999999
5.8,404.01000000000005
5.85,475.24
5.9,524.41
5.95,600.25
6.0,739.8399999999999
6.05,778.41
6.1,858.49
6.15,1011.24
6.2,1122.25
6.25,1239.0400000000002
6.3,1346.89
6.35,1513.2099999999998
6.4,1616.0400000000002
6.45,1989.16
6.5,2016.0099999999998
6.55,2199.6099999999997
6.6,2440.3599999999997
6.65,2704.0
6.7,2798.41
6.75,3124.81
6.8,3540.25
6.85,3696.64
6.9,4382.4400000000005
6.95,4303.36
7.0,5012.639999999999
